study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA473882	SAMN09276318	SRX4136830	SRR7230417	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163868: ATACseq_3TP_0hr_rep1; Homo sapiens; ATAC-seq	GSM3163868	3076301126;3054137880	d5c2f857393e50e712a04e0beed0d15d;29ac1a27520e24b31b74c4bb37ea5abc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230417/SRR7230417_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230417/SRR7230417_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230417/SRR7230417_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230417/SRR7230417_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/007/SRR7230417	GSM3163868	ATACseq_3TP_0hr_rep1
PRJNA473882	SAMN09276512	SRX4136831	SRR7230418	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163869: ATACseq_3TP_3hr_rep1; Homo sapiens; ATAC-seq	GSM3163869	2848365340;2925622377	aa185a8b0dba34fe0bb62511a1012fb3;0c8cc6e7fdb27ecde58ee44185226dbe	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230418/SRR7230418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230418/SRR7230418_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230418/SRR7230418_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230418/SRR7230418_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/008/SRR7230418	GSM3163869	ATACseq_3TP_3hr_rep1
PRJNA473882	SAMN09276511	SRX4136832	SRR7230419	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163870: ATACseq_3TP_72hr_rep1; Homo sapiens; ATAC-seq	GSM3163870	3522893431;3452809373	f8ff7c7fc4a757c46855e7474bc8cdbd;bf32982b3d53e672d0ff1b66ac914230	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230419/SRR7230419_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230419/SRR7230419_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230419/SRR7230419_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230419/SRR7230419_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/009/SRR7230419	GSM3163870	ATACseq_3TP_72hr_rep1
PRJNA473882	SAMN09276510	SRX4136833	SRR7230420	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163871: ATACseq_3TP_0hr_rep2; Homo sapiens; ATAC-seq	GSM3163871	3273382064;3284371940	fee6083b646ae7f1b294fd728849b394;27f181d045d40a6b53620901d6a647dd	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230420/SRR7230420_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230420/SRR7230420_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230420/SRR7230420_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230420/SRR7230420_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/000/SRR7230420	GSM3163871	ATACseq_3TP_0hr_rep2
PRJNA473882	SAMN09276552	SRX4136834	SRR7230421	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163872: ATACseq_3TP_3hr_rep2; Homo sapiens; ATAC-seq	GSM3163872	3379391911;3326079716	c8351de7b6e6450e2d80ea6986000959;bf2617fe4e996168d03388eca5783cc6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230421/SRR7230421_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230421/SRR7230421_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230421/SRR7230421_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230421/SRR7230421_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/001/SRR7230421	GSM3163872	ATACseq_3TP_3hr_rep2
PRJNA473882	SAMN09276546	SRX4136835	SRR7230422	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 2500 sequencing; GSM3163873: ATACseq_3TP_72hr_rep2; Homo sapiens; ATAC-seq	GSM3163873	3716505241;3715987944	d39377364f042ce1aa4a6911d1ddf0a0;5e997af3e192d0c8ce4f1162d8358317	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230422/SRR7230422_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230422/SRR7230422_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230422/SRR7230422_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230422/SRR7230422_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/002/SRR7230422	GSM3163873	ATACseq_3TP_72hr_rep2
PRJNA473882	SAMN09276517	SRX4136836	SRR7230423	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 4000 sequencing; GSM3163874: ATACseq_7TP_0hr_rep1; Homo sapiens; ATAC-seq	GSM3163874	4182027392;4743223850	be8b791da779849e528d8a7b87bb6629;56a04fb8714b1bf04ac32510cb0d374c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230423/SRR7230423_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230423/SRR7230423_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230423/SRR7230423_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230423/SRR7230423_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/003/SRR7230423	GSM3163874	ATACseq_7TP_0hr_rep1
PRJNA473882	SAMN09276516	SRX4136837	SRR7230424	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 4000 sequencing; GSM3163875: ATACseq_7TP_3hr_rep1; Homo sapiens; ATAC-seq	GSM3163875	3563130462;4063239161	5d4c6902d27d8e55df3e0c8e005de5a5;65bbb785ea88e38e5508203d95c7ba4b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230424/SRR7230424_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230424/SRR7230424_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230424/SRR7230424_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230424/SRR7230424_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/004/SRR7230424	GSM3163875	ATACseq_7TP_3hr_rep1
PRJNA473882	SAMN09276515	SRX4136838	SRR7230425	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 4000 sequencing; GSM3163876: ATACseq_7TP_6hr_rep1; Homo sapiens; ATAC-seq	GSM3163876	3626875858;4146968534	3edbd724549c09fa5ff635df131ad065;f3148062e2d82c90b8c30e4c49d82e4d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230425/SRR7230425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230425/SRR7230425_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230425/SRR7230425_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230425/SRR7230425_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/005/SRR7230425	GSM3163876	ATACseq_7TP_6hr_rep1
PRJNA473882	SAMN09276550	SRX4136839	SRR7230426	9606	Homo sapiens		PAIRED	ATAC-seq	GENOMIC	other	Illumina HiSeq 4000 sequencing; GSM3163877: ATACseq_7TP_12hr_rep1; Homo sapiens; ATAC-seq	GSM3163877	3321462825;3763589486	19427b589ac93f640db03af043348ce8;2b594f88e2ed1f35b611edc14fb10072	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230426/SRR7230426_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230426/SRR7230426_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230426/SRR7230426_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230426/SRR7230426_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/006/SRR7230426	GSM3163877	ATACseq_7TP_12hr_rep1
