study_accession	sample_accession	experiment_accession	run_accession	tax_id	scientific_name	library_name	library_layout	library_strategy	library_source	library_selection	experiment_title	experiment_alias	fastq_bytes	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	sample_alias	sample_title
PRJNA473881	SAMN09276572	SRX4136850	SRR7230437	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163826: H3K27ac_ChIPSeq_rep1_0hr; Homo sapiens; ChIP-Seq	GSM3163826	952879865	2cdfa564ef922503a8327e50320d2995	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/007/SRR7230437/SRR7230437.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/007/SRR7230437/SRR7230437.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/007/SRR7230437	GSM3163826	H3K27ac_ChIPSeq_rep1_0hr
PRJNA473881	SAMN09276571	SRX4136851	SRR7230438	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163827: H3K27ac_ChIPSeq_rep1_3hr; Homo sapiens; ChIP-Seq	GSM3163827	1003079094	eecf2cac5b3b3872bc7b95fd3676efef	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/008/SRR7230438/SRR7230438.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/008/SRR7230438/SRR7230438.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/008/SRR7230438	GSM3163827	H3K27ac_ChIPSeq_rep1_3hr
PRJNA473881	SAMN09276570	SRX4136852	SRR7230439	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163828: H3K27ac_ChIPSeq_rep1_6hr; Homo sapiens; ChIP-Seq	GSM3163828	791366478	8a7be731d98d3811aa654745fa595b6f	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/009/SRR7230439/SRR7230439.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/009/SRR7230439/SRR7230439.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/009/SRR7230439	GSM3163828	H3K27ac_ChIPSeq_rep1_6hr
PRJNA473881	SAMN09276569	SRX4136853	SRR7230440	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163829: H3K27ac_ChIPSeq_rep1_12hr; Homo sapiens; ChIP-Seq	GSM3163829	1227356281	d582009a772e007fecedbcf09b22fde7	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/000/SRR7230440/SRR7230440.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/000/SRR7230440/SRR7230440.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/000/SRR7230440	GSM3163829	H3K27ac_ChIPSeq_rep1_12hr
PRJNA473881	SAMN09276568	SRX4136854	SRR7230441	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163830: H3K27ac_ChIPSeq_rep1_24hr; Homo sapiens; ChIP-Seq	GSM3163830	980004224	54f657ef58668c78979d579d295f5381	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/001/SRR7230441/SRR7230441.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/001/SRR7230441/SRR7230441.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/001/SRR7230441	GSM3163830	H3K27ac_ChIPSeq_rep1_24hr
PRJNA473881	SAMN09276567	SRX4136855	SRR7230442	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163831: H3K27ac_ChIPSeq_rep1_48hr; Homo sapiens; ChIP-Seq	GSM3163831	1284863972	1c630f6998089f71388b8d9287dba7cc	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/002/SRR7230442/SRR7230442.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/002/SRR7230442/SRR7230442.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/002/SRR7230442	GSM3163831	H3K27ac_ChIPSeq_rep1_48hr
PRJNA473881	SAMN09276566	SRX4136856	SRR7230443	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163832: H3K27ac_ChIPSeq_rep1_72hr; Homo sapiens; ChIP-Seq	GSM3163832	1177716083	8dde2246621d783c8f1b5e0016d48560	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/003/SRR7230443/SRR7230443.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/003/SRR7230443/SRR7230443.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/003/SRR7230443	GSM3163832	H3K27ac_ChIPSeq_rep1_72hr
PRJNA473881	SAMN09276565	SRX4136857	SRR7230444	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163833: H3K27me3_ChIPSeq_rep1_0hr; Homo sapiens; ChIP-Seq	GSM3163833	1057421797	0b9bf271ac0403fa7f99b43a23a74e46	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/004/SRR7230444/SRR7230444.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/004/SRR7230444/SRR7230444.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/004/SRR7230444	GSM3163833	H3K27me3_ChIPSeq_rep1_0hr
PRJNA473881	SAMN09276564	SRX4136858	SRR7230445	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163834: H3K27me3_ChIPSeq_rep1_3hr; Homo sapiens; ChIP-Seq	GSM3163834	711245437	133562a808e8c67257691ef58ce411f2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/005/SRR7230445/SRR7230445.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/005/SRR7230445/SRR7230445.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/005/SRR7230445	GSM3163834	H3K27me3_ChIPSeq_rep1_3hr
PRJNA473881	SAMN09276563	SRX4136859	SRR7230446	9606	Homo sapiens		SINGLE	ChIP-Seq	GENOMIC	ChIP	Illumina HiSeq 4000 sequencing; GSM3163835: H3K27me3_ChIPSeq_rep1_6hr; Homo sapiens; ChIP-Seq	GSM3163835	883900093	b14bfb0b5047b527ac63ec9224be9bf9	ftp.sra.ebi.ac.uk/vol1/fastq/SRR723/006/SRR7230446/SRR7230446.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR723/006/SRR7230446/SRR7230446.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR723/006/SRR7230446	GSM3163835	H3K27me3_ChIPSeq_rep1_6hr
