,gamma,,,,,,,,,,,
,Rep1,,,,Rep2,,,,ave_Rep1_Rep2,,,
,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter,transcripts,Mann-Whitney p-value,average phenotype of strongest 3,sgRNAs passing read count filter
gene,,,,,,,,,,,,
AADACL2,P1P2,0.941188354,-0.035122177,5,P1P2,0.985284584,0.07449763,5,P1P2,0.965672679,0.041293273,5
AADAT,P1P2,0.815276059,0.043273231,5,P1P2,0.990189414,0.017014788,5,P1P2,0.89240898,0.02013486,5
AAK1,P1P2,0.684911701,-0.131815456,5,P1P2,0.438545579,-0.53112458,5,P1P2,0.152003469,-0.379208219,5
AANAT,P1P2,0.580042565,-0.208550778,5,P1P2,0.897271722,-0.075327614,5,P1P2,0.716803846,-0.193619574,5
AARS,P1P2,0.000144999,-5.85293854,5,P1P2,0.000131265,-4.041755996,5,P1P2,0.000134579,-4.761811039,5
AARS2,P1P2,0.265797291,0.319481179,5,P1P2,0.000398214,-1.427640705,5,P1P2,0.016496974,-0.648634561,5
AASS,P1P2,0.464403367,-0.167575196,5,P1P2,0.180157527,-0.567607017,5,P1P2,0.153769484,-0.398156205,5
AATK,ENST00000326724.4,0.592733903,-0.157190806,5,ENST00000326724.4,0.121308868,0.611297451,5,ENST00000326724.4,0.399631313,0.244872664,5
ABAT,P2,0.16098978,-0.778339777,5,P2,0.550935595,-0.182520698,5,P2,0.18418666,-0.209255174,5
ABCC2,P1P2,0.920451724,0.055405409,4,P1P2,0.090872513,-0.2994749,4,P1P2,0.398845608,-0.187118851,4
ABCC8,P1P2,0.471944201,-0.264275991,5,P1P2,0.21884481,-0.405012691,5,P1P2,0.279228988,-0.293587307,5
ABCC9,P1P2,0.442188091,-0.722528557,5,P1P2,0.926522911,0.041043372,5,P1P2,0.460658241,-0.45817684,5
ABCE1,P1P2,0.000168161,-2.982846659,5,P1P2,0.000300301,-3.097038645,5,P1P2,0.000152363,-2.782440546,5
ABCG1,P1P2,0.991757334,0.031198447,4,P1P2,0.502771682,-0.09973829,5,P1P2,0.598282132,-0.174472118,4
ABL1,ENST00000372348.2,0.571653079,0.186705752,5,ENST00000372348.2,0.89240898,-0.300794129,5,ENST00000372348.2,0.834422507,0.134277576,5
ABL2,P1,0.076621893,0.979845754,5,P2,0.268447404,-0.111659246,5,P1,0.502771682,0.223232262,5
ABO,P2,0.096920963,-0.587400064,5,P2,0.36939237,0.32125362,5,P2,0.555049389,-0.099808772,5
ACACA,P1P2,0.255377278,-0.664230589,5,P1P2,0.359637411,-0.429099045,5,P1P2,0.040029783,-0.490245998,5
ACACB,P1,0.567480087,-0.41919537,5,P2,0.350045881,-0.067891566,5,P1,0.575840608,-0.157197089,5
ACAD8,P1P2,0.882695803,-0.216657754,5,P1P2,0.420593677,-0.381907839,5,P1P2,0.471944201,-0.280113467,5
ACADS,P1P2,0.848847705,-0.213802275,5,P1P2,0.622830857,0.032110502,5,P1P2,0.563321738,-0.090845887,5
ACADSB,P1P2,0.024437626,-0.826636474,5,P1P2,0.180157527,-0.386844917,5,P1P2,0.049853245,-0.606740696,5
ACAN,P1P2,0.23753972,-0.804277237,4,P1P2,0.618490885,1.626508812,5,P1P2,0.537626338,0.44359632,4
ACAT1,P1P2,0.975476778,-0.4637179,5,P1P2,0.863323699,-0.407280587,5,P1P2,0.882695803,-0.435499243,5
ACAT2,P1P2,0.041851138,-1.441544495,5,P1P2,0.093266751,-0.774839633,5,P1P2,0.009644536,-0.940959679,5
ACCS,P1P2,0.777323024,-0.028434437,5,P1P2,0.445847853,-0.344384561,5,P1P2,0.526572414,-0.196910472,5
ACE,P2,0.290301306,0.47158411,5,P1,0.216550135,0.397541833,5,P1,0.174237154,0.183571567,5
ACE2,P1P2,0.17229634,-2.376006133,5,P1P2,0.240285533,-1.072525415,5,P1P2,0.200971057,-1.77453908,5
ACHE,P2,0.296756516,0.540259082,4,P2,0.064233381,2.334223928,5,P2,0.163117639,0.476797439,4
ACOT13,P1P2,0.301665324,-0.193608478,5,P1P2,0.749197677,-0.049022766,5,P1P2,0.468165375,-0.210858608,5
ACOX1,P1P2,0.98038031,0.069738102,5,P1P2,0.605551062,0.098056664,5,P1P2,0.955873766,0.00777373,5
ACP1,P1P2,0.346885107,-1.13444484,5,P1P2,0.744541252,-0.738881586,5,P1P2,0.396199708,-0.793762656,5
ACP2,P1P2,0.379310168,-0.12111073,5,P1P2,0.965672679,0.273903345,5,P1P2,0.777323024,0.079557097,5
ACP5,P2,0.019160231,0.884407799,5,P2,0.086290258,0.774619318,5,P2,0.00577192,0.686926411,5
