ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0006260	DNA replication	51	51/142	241/10965	2.7633435850245577e-49	4.697684094541748e-46	3.641795966790259e-46	45.43868438939758	RBBP4/NASP/DTL/CLSPN/RRM2/MCM6/BARD1/MCM2/RFC4/RFC1/GMNN/MCM3/MMS22L/FBXO5/RFC2/MCM7/GINS4/MCM4/DSCC1/POLE3/MCM10/SMC3/DNA2/RRM1/FAM111B/FEN1/POLD3/CHEK1/RFC5/RECQL/PRIM1/BRCA2/RFC3/SUPT16H/WDHD1/RAD51/DUT/BLM/TIPIN/RMI2/ORC6/CDT1/GINS2/ATAD5/CDC6/BRCA1/CHAF1A/RNASEH2A/CCNE1/PCNA/MCM5	18
BP	GO:0006261	DNA-dependent DNA replication	35	35/142	132/10965	4.092032678403257e-37	3.4782277766427682e-34	2.6964341649267775e-34	33.56921017880918	MCM6/MCM2/RFC4/RFC1/GMNN/MCM3/MMS22L/FBXO5/RFC2/MCM7/GINS4/MCM4/DSCC1/POLE3/MCM10/DNA2/FEN1/POLD3/RFC5/RECQL/PRIM1/BRCA2/RFC3/WDHD1/RAD51/BLM/TIPIN/ORC6/CDT1/GINS2/ATAD5/CDC6/CCNE1/PCNA/MCM5	18
BP	GO:0044786	cell cycle DNA replication	24	24/142	59/10965	9.713532632694046e-31	5.5043351585266255e-28	4.267137844257174e-28	27.369863327603937	MCM6/MCM2/RFC4/RFC1/GMNN/MCM3/FBXO5/RFC2/MCM7/MCM4/POLE3/DNA2/FEN1/POLD3/RFC5/PRIM1/BRCA2/RFC3/RAD51/TIPIN/CDT1/ATAD5/PCNA/MCM5	18
BP	GO:0033260	nuclear DNA replication	23	23/142	55/10965	7.933900211428029e-30	3.371907589856913e-27	2.6140113328178665e-27	26.58269253390559	MCM6/MCM2/RFC4/RFC1/GMNN/MCM3/RFC2/MCM7/MCM4/POLE3/DNA2/FEN1/POLD3/RFC5/PRIM1/BRCA2/RFC3/RAD51/TIPIN/CDT1/ATAD5/PCNA/MCM5	18
BP	GO:0006281	DNA repair	43	43/142	467/10965	1.7398164915770986e-25	5.915376071362135e-23	4.5857899946411105e-23	22.338585837581842	USP1/DTL/CLSPN/UBE2T/MSH2/MSH6/RIF1/MCM6/BARD1/MCM2/RFC4/RFC1/DEK/MCM3/MMS22L/RFC2/MCM7/XRCC2/GINS4/MCM4/SMC3/DNA2/FEN1/POLD3/CHEK1/RAD51AP1/UNG/RFC5/RECQL/BRCA2/RFC3/SUPT16H/WDHD1/RAD51/BLM/RMI2/GINS2/BRCA1/CHAF1A/RNASEH2A/PCNA/MCM5/SMC1A	18
BP	GO:0071103	DNA conformation change	32	32/142	238/10965	5.849477579456506e-24	1.6573519808460099e-21	1.2848326192069378e-21	20.8911534460989	RBBP4/NASP/HAT1/MCM6/MCM2/RFC4/CENPH/CENPK/CENPQ/CENPW/DAXX/MCM3/RFC2/MCM7/GINS4/MCM4/DSCC1/POLE3/HELLS/DNA2/RFC5/RECQL/RFC3/RAD51/BLM/GINS2/CENPV/CHAF1A/DNMT1/ASF1B/MCM5/CENPM	18
BP	GO:0000082	G1/S transition of mitotic cell cycle	29	29/142	217/10965	1.1815923677530704e-21	2.869581464543171e-19	2.224591946506533e-19	18.652749639349437	NASP/RRM2/MCM6/MCM2/CDC25A/PPAT/DHFR/E2F3/GMNN/MCM3/FBXO5/MCM7/EZH2/EIF4EBP1/MCM4/POLE3/MCM10/WEE1/CCND1/PRIM1/CDK4/ORC6/CDT1/CDC6/TYMS/CCNE1/PCNA/E2F1/MCM5	18
BP	GO:0044843	cell cycle G1/S phase transition	29	29/142	229/10965	5.5444335385281455e-21	1.178192126937231e-18	9.133724723996367e-19	18.039352081479937	NASP/RRM2/MCM6/MCM2/CDC25A/PPAT/DHFR/E2F3/GMNN/MCM3/FBXO5/MCM7/EZH2/EIF4EBP1/MCM4/POLE3/MCM10/WEE1/CCND1/PRIM1/CDK4/ORC6/CDT1/CDC6/TYMS/CCNE1/PCNA/E2F1/MCM5	18
BP	GO:0006310	DNA recombination	26	26/142	220/10965	4.277394503553039e-18	8.079522951155741e-16	6.263506337366556e-16	15.203182478824674	MSH2/MSH6/RIF1/MCM6/MCM2/MND1/MCM3/MMS22L/MCM7/XRCC2/GINS4/MCM4/FEN1/CHEK1/RAD51AP1/UNG/RECQL/BRCA2/RAD51/BLM/RMI2/GINS2/ATAD5/PSMC3IP/BRCA1/MCM5	18
BP	GO:0071824	protein-DNA complex subunit organization	24	24/142	181/10965	6.2484092629171454e-18	1.0622295746959148e-15	8.234745681233965e-16	15.084349808873371	RBBP4/NASP/HAT1/MCM6/MCM2/CENPH/CENPK/GMNN/CENPQ/CENPW/DAXX/MCM3/MCM7/MCM4/POLE3/HELLS/SUPT16H/RAD51/CDT1/CENPV/CHAF1A/ASF1B/MCM5/CENPM	18
