ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0007059	chromosome segregation	55	55/249	274/10965	3.983355751306805e-37	1.1149412747907748e-33	9.404912579138067e-34	33.02664523696362	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/NCAPH/SPC25/HJURP/FANCD2/SMC4/TACC3/NCAPG/MAD2L1/CENPH/CENPK/KIFC1/CENPQ/TTK/CENPW/FBXO5/NCAPG2/ESCO2/DSCC1/SMC2/SMC3/BUB3/ZWINT/MKI67/FEN1/CDCA5/NCAPD2/RACGAP1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/UBE2I/RMI2/KIF22/CENPN/CDT1/CDC6/TUBG1/KPNB1/BIRC5/ANAPC11/AURKB/TOP2A/BRCA1/NDC80/UBE2C/DSN1/MIS18A/SMC1A	10
BP	GO:0140014	mitotic nuclear division	50	50/249	250/10965	1.2998110605404732e-33	1.3625313470434654e-30	1.1493419873332557e-30	29.939550727523255	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/NCAPH/SMC4/TACC3/NCAPG/MAD2L1/CENPK/KIFC1/TTK/FBXO5/ANLN/NCAPG2/DSCC1/SMC2/CDK1/KIF20B/KIF11/SMC3/BUB3/ZWINT/MKI67/CHEK1/CDCA5/NCAPD2/RACGAP1/VRK1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/KIF22/CDT1/CDC6/TUBG1/KPNB1/BIRC5/ANAPC11/AURKB/NDC80/TPX2/MYBL2/UBE2C/DSN1/RANBP1/SMC1A	10
BP	GO:0000280	nuclear division	56	56/249	332/10965	1.4603765777529104e-33	1.3625313470434654e-30	1.1493419873332557e-30	29.939550727523255	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/ASPM/NCAPH/FANCD2/SMC4/TACC3/NCAPG/MND1/MAD2L1/CENPK/KIFC1/TTK/FBXO5/ANLN/NCAPG2/DSCC1/CKS2/SMC2/CDK1/KIF20B/KIF11/SMC3/BUB3/ZWINT/MKI67/CHEK1/CDCA5/NCAPD2/RACGAP1/VRK1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/KIF22/CDT1/CDC6/TUBG1/KPNB1/BIRC5/ANAPC11/AURKB/TOP2A/PSMC3IP/NDC80/TPX2/MYBL2/UBE2C/DSN1/RANBP1/SMC1A	10
BP	GO:0051301	cell division	66	66/249	493/10965	2.1583882129680376e-33	1.4174096606382592e-30	1.1956337296446532e-30	29.922401841715793	NUDC/CDCA8/KIF2C/CKS1B/NUF2/CENPF/MAD2L2/ITGB3BP/ASPM/NCAPH/SPC25/SMC4/ETV5/TACC3/NCAPG/MAD2L1/CCNA2/TUBB/KIFC1/CENPW/FBXO5/ANLN/NCAPG2/FGFR1/CKS2/SMC2/CDK1/KIF20B/KIF11/HELLS/SMC3/BUB3/ZWINT/WEE1/CDCA5/NCAPD2/TUBA1B/RACGAP1/CDK4/E2F7/CKAP2/VRK1/MIS18BP1/BUB1B/NUSAP1/KIF23/BLM/PRC1/UBE2I/ORC6/CDT1/CDC6/BIRC5/ANAPC11/AURKB/CENPV/TOP2A/NDC80/RBBP8/SPC24/LIG1/TPX2/UBE2C/DSN1/MIS18A/SMC1A	10
BP	GO:0006260	DNA replication	49	49/249	241/10965	2.7237596889019187e-33	1.4174096606382592e-30	1.1956337296446532e-30	29.922401841715793	RBBP4/NASP/CACYBP/DTL/CLSPN/NUCKS1/RRM2/RFC4/CCNA2/GMNN/MCM3/FBXO5/RFC2/MCM7/ESCO2/MCM4/FGFR1/DSCC1/MCM10/CDK1/SMC3/RRM1/FEN1/POLD3/CHEK1/SSRP1/RHNO1/RFC5/E2F7/RFC3/SUPT16H/WDHD1/DUT/BLM/RMI2/ORC6/CDT1/GINS2/ATAD5/CDC6/BRCA1/ALYREF/RBBP8/CHAF1A/RNASEH2A/LIG1/MGME1/GINS1/PCNA	10
BP	GO:0000819	sister chromatid segregation	43	43/249	172/10965	3.0383915554946606e-33	1.4174096606382592e-30	1.1956337296446532e-30	29.922401841715793	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/NCAPH/SMC4/TACC3/NCAPG/MAD2L1/CENPK/KIFC1/TTK/FBXO5/NCAPG2/ESCO2/DSCC1/SMC2/SMC3/BUB3/ZWINT/FEN1/CDCA5/NCAPD2/RACGAP1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/RMI2/KIF22/CDT1/CDC6/TUBG1/KPNB1/ANAPC11/AURKB/TOP2A/NDC80/UBE2C/DSN1/SMC1A	10
BP	GO:0048285	organelle fission	56	56/249	369/10965	4.694206614123251e-31	1.8770120447044255e-28	1.5833241256358574e-28	27.800430170693005	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/ASPM/NCAPH/FANCD2/SMC4/TACC3/NCAPG/MND1/MAD2L1/CENPK/KIFC1/TTK/FBXO5/ANLN/NCAPG2/DSCC1/CKS2/SMC2/CDK1/KIF20B/KIF11/SMC3/BUB3/ZWINT/MKI67/CHEK1/CDCA5/NCAPD2/RACGAP1/VRK1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/KIF22/CDT1/CDC6/TUBG1/KPNB1/BIRC5/ANAPC11/AURKB/TOP2A/PSMC3IP/NDC80/TPX2/MYBL2/UBE2C/DSN1/RANBP1/SMC1A	10
BP	GO:0098813	nuclear chromosome segregation	45	45/249	217/10965	5.8991845837523115e-31	2.06397720624034e-28	1.741035660704794e-28	27.75919233336934	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/NCAPH/FANCD2/SMC4/TACC3/NCAPG/MAD2L1/CENPK/KIFC1/CENPQ/TTK/FBXO5/NCAPG2/ESCO2/DSCC1/SMC2/SMC3/BUB3/ZWINT/FEN1/CDCA5/NCAPD2/RACGAP1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/RMI2/KIF22/CDT1/CDC6/TUBG1/KPNB1/ANAPC11/AURKB/TOP2A/NDC80/UBE2C/DSN1/SMC1A	10
BP	GO:0000070	mitotic sister chromatid segregation	38	38/249	146/10965	4.028764268790276e-30	1.2529456875937759e-27	1.056902719870946e-27	26.975964984468835	CDCA8/KIF2C/NUF2/CENPF/MAD2L2/NCAPH/SMC4/TACC3/NCAPG/MAD2L1/CENPK/KIFC1/TTK/FBXO5/NCAPG2/DSCC1/SMC2/BUB3/ZWINT/CDCA5/NCAPD2/RACGAP1/DLGAP5/BUB1B/NUSAP1/KIF23/PRC1/KIF22/CDT1/CDC6/TUBG1/KPNB1/ANAPC11/AURKB/NDC80/UBE2C/DSN1/SMC1A	10
BP	GO:0071103	DNA conformation change	45	45/249	238/10965	4.045827710904596e-29	1.1324271762821963e-26	9.552412163746326e-27	26.019886947041872	RBBP4/NASP/ITGB3BP/PARP1/NCAPH/HAT1/XRCC5/HJURP/SMC4/RFC4/NCAPG/HMGB2/CENPH/CENPK/CENPQ/CENPW/MCM3/RFC2/MCM7/NCAPG2/MCM4/DSCC1/SMC2/CDK1/HELLS/DDB2/NAP1L4/CDCA5/NCAPD2/RFC5/RFC3/HMGB1/MIS18BP1/NUSAP1/BLM/CENPN/GINS2/CENPV/TOP2A/CHAF1A/DNMT1/ASF1B/MIS18A/XRCC6/CENPM	10
