ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0009611	response to wounding	52	52/385	396/10965	7.899384910594121e-17	3.234798120888293e-13	2.433842066664105e-13	12.613707606796853	PDPN/HDAC1/ID3/JUN/F3/RHOC/CSRP1/NFE2L2/FN1/DAG1/GPX1/SPP1/PPP3CA/ANXA5/MAP1B/HMGCR/ANXA6/SPARC/EDN1/SMOC2/CLIC1/FYN/CLDN4/COL1A2/CAV1/ACTB/CLDN3/CREB3L2/ANXA1/TLN1/GATA3/PLAU/VCL/INPP5F/ITGB1/MYOF/FGFR2/CD151/THBS1/TPM1/ANXA2/TNFRSF12A/COL1A1/ACTG1/MYL12A/BAX/MYL9/GNAS/CST3/LGALS1/MYH9/TIMP1	1
BP	GO:0040017	positive regulation of locomotion	47	47/385	376/10965	1.871065875009827e-14	2.983791948571472e-11	2.2449865775897948e-11	10.648786251229081	PDPN/RAB25/JUN/F3/RHOC/S100A11/EPCAM/RTN4/NFE2L2/FN1/ANXA3/PPP3CA/PLK2/SPARC/EDN1/AKAP12/SMOC2/TUBB2B/CLDN4/CAV1/CLDN3/SEMA3C/LAMB1/ADAM9/ANXA1/GATA3/PLAU/ITGB1/CD151/RDX/LGALS3/BMP4/THBS1/IQGAP1/TJP1/BCAR1/PFN1/CLDN7/COL1A1/ACTG1/CALR/ACTN4/RRAS/BMP2/BMP7/APP/TMSB4X	1
BP	GO:0042060	wound healing	43	43/385	321/10965	2.296287008786362e-14	2.983791948571472e-11	2.2449865775897948e-11	10.648786251229081	PDPN/HDAC1/F3/RHOC/CSRP1/NFE2L2/FN1/DAG1/GPX1/PPP3CA/ANXA5/HMGCR/ANXA6/SPARC/EDN1/SMOC2/CLIC1/FYN/CLDN4/COL1A2/CAV1/ACTB/CLDN3/ANXA1/TLN1/GATA3/PLAU/VCL/ITGB1/MYOF/FGFR2/CD151/THBS1/TPM1/ANXA2/TNFRSF12A/COL1A1/ACTG1/MYL12A/MYL9/GNAS/MYH9/TIMP1	1
BP	GO:0051272	positive regulation of cellular component movement	47	47/385	381/10965	3.0981319115485185e-14	2.983791948571472e-11	2.2449865775897948e-11	10.648786251229081	PDPN/RAB25/JUN/F3/RHOC/S100A11/EPCAM/RTN4/NFE2L2/FN1/ANXA3/PPP3CA/PLK2/SPARC/EDN1/AKAP12/SMOC2/TUBB2B/CLDN4/CAV1/CLDN3/SEMA3C/LAMB1/ADAM9/ANXA1/GATA3/PLAU/ITGB1/CD151/RDX/LGALS3/BMP4/THBS1/IQGAP1/TJP1/BCAR1/PFN1/CLDN7/COL1A1/ACTG1/CALR/ACTN4/RRAS/BMP2/BMP7/APP/TMSB4X	1
BP	GO:2000147	positive regulation of cell motility	46	46/385	368/10965	3.6432136124193795e-14	2.983791948571472e-11	2.2449865775897948e-11	10.648786251229081	PDPN/RAB25/JUN/F3/RHOC/S100A11/EPCAM/RTN4/NFE2L2/FN1/ANXA3/PPP3CA/PLK2/SPARC/EDN1/AKAP12/SMOC2/CLDN4/CAV1/CLDN3/SEMA3C/LAMB1/ADAM9/ANXA1/GATA3/PLAU/ITGB1/CD151/RDX/LGALS3/BMP4/THBS1/IQGAP1/TJP1/BCAR1/PFN1/CLDN7/COL1A1/ACTG1/CALR/ACTN4/RRAS/BMP2/BMP7/APP/TMSB4X	1
BP	GO:0030855	epithelial cell differentiation	48	48/385	406/10965	8.271039046451302e-14	5.644984149203014e-11	4.2472511033268356e-11	10.371892062163196	PDPN/CLIC4/HDAC1/TXNIP/RAB25/ELF3/ID3/JUN/TAGLN2/FLNB/GPX1/CDKN1A/PERP/EZR/CAV1/CLDN3/CDK6/ADAM9/ASAH1/ANXA1/UGCG/CTSV/GATA3/VCL/ACTA2/FGFR2/TAGLN/RDX/KRT18/PKP2/KRT8/COL4A1/LGALS3/BMP4/SIX1/IQGAP1/NR2F2/TJP1/PRSS8/KRT19/FASN/DSG2/SPINT2/BMP2/ID1/CST3/BMP7/ATF4	1
BP	GO:0061061	muscle structure development	49	49/385	435/10965	2.872744432882567e-13	1.6805554932363017e-10	1.264439542112372e-10	9.89810193117105	ATF3/CAPN2/ID3/COL11A1/TNNT2/TNNI1/CSRP1/ACTA1/VAMP5/TANC1/DAG1/FLNB/GPX1/TNNC1/WDR1/PPP3CA/CCNB1/HMGCR/EDN1/UTRN/CD164/CAV1/FLNC/ARID5B/ITGB1/ANKRD1/MYOF/PDLIM1/FGFR2/TAGLN/MYL6/YBX3/PKP2/KRT8/EFNB2/BMP4/SIX1/TPM1/FBXO22/NR2F2/ACTC1/KRT19/ACTG1/CALR/GDF15/PLD3/BMP2/LGALS1/MYH9	1
BP	GO:0030335	positive regulation of cell migration	44	44/385	362/10965	3.725026045933626e-13	1.9067477072622748e-10	1.43462516269049e-10	9.843261556100753	PDPN/RAB25/JUN/F3/RHOC/S100A11/RTN4/NFE2L2/FN1/ANXA3/PPP3CA/PLK2/SPARC/EDN1/AKAP12/SMOC2/CLDN4/CAV1/CLDN3/SEMA3C/LAMB1/ADAM9/ANXA1/GATA3/PLAU/ITGB1/CD151/RDX/LGALS3/BMP4/THBS1/IQGAP1/TJP1/BCAR1/PFN1/COL1A1/ACTG1/CALR/ACTN4/RRAS/BMP2/BMP7/APP/TMSB4X	1
BP	GO:0001667	ameboidal-type cell migration	39	39/385	301/10965	1.183897372298567e-12	5.38673304395848e-10	4.0529445715998897e-10	9.392229335664405	RAB25/TACSTD2/JUN/GLUL/CYP1B1/RTN4/NFE2L2/FN1/GPX1/AMOTL2/ANXA3/PLK2/ANXA6/SPARC/EDN1/AKAP12/SMOC2/SEMA3C/ADAM9/ANGPT2/ANXA1/GATA3/ARID5B/ITGB1/PDLIM1/EFNB2/BMP4/THBS1/IQGAP1/NR2F2/BCAR1/PFN1/CALR/RRAS/ID1/BMP7/MYH9/TMSB4X/TIMP1	1
BP	GO:0006936	muscle contraction	31	31/385	205/10965	4.7927966936921945e-12	1.900301815162769e-9	1.4297753134069597e-9	8.844732205761781	ATP1A1/TPM3/TNNT2/TNNI1/ACTA1/TNNC1/EDNRA/CAMK2D/ANXA6/EDN1/UTRN/CAV1/CALD1/MYL7/TPM2/TLN1/VCL/ACTA2/MYOF/MYL6/PKP2/CALM1/TPM1/ACTC1/MYL4/MYL12A/MYL12B/DSG2/CNN1/TPM4/MYL9	1
