ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0006936	muscle contraction	18	18/85	205/10965	1.4786038429280746e-14	2.5180623445065112e-11	2.1852208373379127e-11	10.660504666889961	CALM2/CALD1/SULF1/TPM2/VIM/VCL/ACTA2/MYL6/TPM1/ACTC1/MYLPF/MYL12A/CNN1/TPM4/DAPK3/TNNT1/MYL9/FLNA	28
BP	GO:0003012	muscle system process	18	18/85	263/10965	1.1068892206682893e-12	9.425161713990483e-10	8.179328767464623e-10	9.087282335026389	CALM2/CALD1/SULF1/TPM2/VIM/VCL/ACTA2/MYL6/TPM1/ACTC1/MYLPF/MYL12A/CNN1/TPM4/DAPK3/TNNT1/MYL9/FLNA	28
BP	GO:0030049	muscle filament sliding	7	7/85	21/10965	1.393432814727932e-10	5.932540208704171e-8	5.1483675575737286e-8	7.288330455060629	TPM2/VIM/MYL6/TPM1/ACTC1/TPM4/TNNT1	28
BP	GO:0033275	actin-myosin filament sliding	7	7/85	21/10965	1.393432814727932e-10	5.932540208704171e-8	5.1483675575737286e-8	7.288330455060629	TPM2/VIM/MYL6/TPM1/ACTC1/TPM4/TNNT1	28
BP	GO:0061061	muscle structure development	17	17/85	435/10965	2.905473181353257e-8	9.896041655689194e-6	8.587967045515733e-6	5.066109630744654	ATF3/FHL3/COL11A1/SOX11/LRP2/PDLIM7/IGFBP3/TAGLN/MYL6/CSRP2/TPM1/ACTC1/MYLPF/ACTG1/CDH2/TNNT1/CXADR	28
BP	GO:0070252	actin-mediated cell contraction	8	8/85	72/10965	7.461203565805797e-8	2.1177382787612118e-5	1.8378122467353227e-5	4.7356988587669875	TPM2/VIM/MYL6/TPM1/ACTC1/TPM4/TNNT1/FLNA	28
BP	GO:0034109	homotypic cell-cell adhesion	7	7/85	56/10965	2.2336088273441696e-7	5.43405118995303e-5	4.715769614422879e-5	4.326447420207329	ACTB/VCL/ACTG1/MYL12A/MYL9/CXADR/FLNA	28
BP	GO:0070527	platelet aggregation	6	6/85	40/10965	5.641747580349782e-7	1.2009870161669598e-4	1.0422386319488282e-4	3.982032833173427	ACTB/VCL/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0030048	actin filament-based movement	8	8/85	97/10965	7.702763488388642e-7	1.4575340245250954e-4	1.2648748465143457e-4	3.89795244378234	TPM2/VIM/MYL6/TPM1/ACTC1/TPM4/TNNT1/FLNA	28
BP	GO:0150105	protein localization to cell-cell junction	4	4/85	11/10965	1.0648557946047734e-6	1.8134494182119292e-4	1.5737447743422126e-4	3.8030656989670732	ACTB/VCL/ACTG1/FLNA	28
BP	GO:0009611	response to wounding	14	14/85	396/10965	1.8719952390341996e-6	2.6892527942925257e-4	2.3337830597315614e-4	3.6319395169026203	SYT11/JUN/GAP43/SPARC/COL1A2/ACTB/VCL/HBD/TPM1/TNFRSF12A/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0031032	actomyosin structure organization	9	9/85	147/10965	1.8949520570469941e-6	2.6892527942925257e-4	2.3337830597315614e-4	3.6319395169026203	CNN3/ZYX/CSRP2/TPM1/ACTC1/ACTG1/CNN2/CNN1/TNNT1	28
BP	GO:0007517	muscle organ development	11	11/85	252/10965	3.609125709542058e-6	4.727954679500096e-4	4.1030060697951824e-4	3.386897840557678	ATF3/FHL3/COL11A1/SOX11/LRP2/TAGLN/MYL6/TPM1/ACTC1/MYLPF/CXADR	28
BP	GO:0042060	wound healing	12	12/85	321/10965	6.244926203854065e-6	7.596506660831051e-4	6.592388263316623e-4	3.180957222480491	SYT11/SPARC/COL1A2/ACTB/VCL/HBD/TPM1/TNFRSF12A/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0007015	actin filament organization	12	12/85	330/10965	8.273497117765615e-6	9.393177061036561e-4	8.151571897082755e-4	3.088758636609173	ARPC5/ZYX/TPM2/LIMA1/TPM1/ACTC1/COTL1/ACTG1/TPM4/MYADM/TMSB15A/FLNA	28
BP	GO:0030168	platelet activation	7	7/85	96/10965	8.944570942973546e-6	9.520377697427467e-4	8.261958949957144e-4	3.0829169671724785	COL1A2/ACTB/VCL/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0030239	myofibril assembly	5	5/85	38/10965	1.0204208147827371e-5	0.0010222215573970595	8.871026773714941e-4	3.0520261100046864	CSRP2/TPM1/ACTC1/ACTG1/TNNT1	28
BP	GO:0006937	regulation of muscle contraction	7	7/85	99/10965	1.0964753670696163e-5	0.0010373875278441981	9.002639855940009e-4	3.045630123142879	CALM2/TPM1/CNN1/DAPK3/TNNT1/MYL9/FLNA	28
BP	GO:0032970	regulation of actin filament-based process	11	11/85	297/10965	1.716172795177161e-5	0.0015382327737824765	0.0013349067060547007	2.8745490852068465	ARPC5/ABRACL/LIMA1/TPM1/COTL1/ACTG1/CNN2/MYADM/DAPK3/TMSB15A/FLNA	28
BP	GO:0060537	muscle tissue development	10	10/85	253/10965	2.4496599872849047e-5	0.0020858854791730966	0.0018101698011305301	2.7422806846693923	ATF3/COL11A1/SOX11/LRP2/MYL6/CSRP2/TPM1/ACTC1/MYLPF/CXADR	28
BP	GO:0045214	sarcomere organization	4	4/85	23/10965	2.6615316839331655e-5	0.0021583754560658007	0.001873077936963491	2.727444151674956	CSRP2/TPM1/ACTG1/TNNT1	28
BP	GO:1902903	regulation of supramolecular fiber organization	10	10/85	282/10965	6.157830752964094e-5	0.004766720805589933	0.004136648027350043	2.383351430103429	ARPC5/CLU/LIMA1/TPM1/COTL1/ACTG1/MYADM/DAPK3/TMSB15A/FLNA	28
BP	GO:0048729	tissue morphogenesis	13	13/85	488/10965	8.974748424698956e-5	0.006395512509910892	0.005550143439697682	2.255695792685577	COL11A1/SOX11/LRP2/RSPO3/ACTB/SULF1/VCL/ACTA2/DAAM1/TPM1/ACTC1/ACTG1/FLNA	28
BP	GO:0014706	striated muscle tissue development	9	9/85	238/10965	9.013053449081704e-5	0.006395512509910892	0.005550143439697682	2.255695792685577	ATF3/COL11A1/SOX11/LRP2/MYL6/TPM1/ACTC1/MYLPF/CXADR	28
BP	GO:0055002	striated muscle cell development	6	6/85	96/10965	9.641642123911311e-5	0.006567886614808386	0.005699732859777466	2.2441454987561587	CSRP2/TPM1/ACTC1/ACTG1/TNNT1/CXADR	28
BP	GO:0090257	regulation of muscle system process	7	7/85	145/10965	1.2765738519843032e-4	0.007869646737866932	0.00682942424820915	2.1656159077921746	CALM2/TPM1/CNN1/DAPK3/TNNT1/MYL9/FLNA	28
BP	GO:0007596	blood coagulation	8	8/85	195/10965	1.2934756981466708e-4	0.007869646737866932	0.00682942424820915	2.1656159077921746	COL1A2/ACTB/VCL/HBD/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:2000177	regulation of neural precursor cell proliferation	5	5/85	64/10965	1.323635150934868e-4	0.007869646737866932	0.00682942424820915	2.1656159077921746	NES/LRP2/ADCYAP1/CDH2/FLNA	28
BP	GO:0050817	coagulation	8	8/85	196/10965	1.3401042595310688e-4	0.007869646737866932	0.00682942424820915	2.1656159077921746	COL1A2/ACTB/VCL/HBD/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0007599	hemostasis	8	8/85	198/10965	1.4375366751288467e-4	0.008160416525814753	0.007081759620634741	2.1498588187814724	COL1A2/ACTB/VCL/HBD/ACTG1/MYL12A/MYL9/FLNA	28
BP	GO:0055001	muscle cell development	6	6/85	106/10965	1.668155805490193e-4	0.00916409463467677	0.00795276995215019	2.0994815800968163	CSRP2/TPM1/ACTC1/ACTG1/TNNT1/CXADR	28
BP	GO:0110053	regulation of actin filament organization	8	8/85	206/10965	1.8877322133943416e-4	0.010046274873158012	0.008718342196071238	2.0595660888685905	ARPC5/LIMA1/TPM1/COTL1/ACTG1/MYADM/TMSB15A/FLNA	28
BP	GO:0001503	ossification	9	9/85	264/10965	1.9763317445320268e-4	0.010148226797594511	0.008806817952110947	2.055180980971512	ISG15/COL11A1/SOX11/SPARC/PDLIM7/COL1A2/IGFBP3/TPM4/JUND	28
BP	GO:0010927	cellular component assembly involved in morphogenesis	5	5/85	70/10965	2.0260699419742418e-4	0.010148226797594511	0.008806817952110947	2.055180980971512	CSRP2/TPM1/ACTC1/ACTG1/TNNT1	28
