ontology	ID	Description	Count	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	log10q	geneID	cluster
BP	GO:0030900	forebrain development	10	10/39	284/10965	3.7963992356597124e-8	2.9184363700343124e-5	2.1566329369206242e-5	4.666223766364935	LRP2/SOX2/FEZF2/FEZF1/PTN/EMX2/PAX6/OTX2/CDH2/SOX3	23
BP	GO:0007389	pattern specification process	10	10/39	290/10965	4.626325562201305e-8	2.9184363700343124e-5	2.1566329369206242e-5	4.666223766364935	LRP2/ZIC1/FEZF2/SPRY1/SFRP2/FEZF1/TGFBR1/EMX2/PAX6/OTX2	23
BP	GO:0003002	regionalization	9	9/39	223/10965	6.316961839901109e-8	2.9184363700343124e-5	2.1566329369206242e-5	4.666223766364935	LRP2/FEZF2/SPRY1/SFRP2/FEZF1/TGFBR1/EMX2/PAX6/OTX2	23
BP	GO:0021871	forebrain regionalization	4	4/39	17/10965	3.1455342561427116e-7	9.173401869418308e-5	6.778856245875306e-5	4.1688435757505475	FEZF2/FEZF1/EMX2/PAX6	23
BP	GO:0009952	anterior/posterior pattern specification	7	7/39	131/10965	3.3093080337006887e-7	9.173401869418308e-5	6.778856245875306e-5	4.1688435757505475	FEZF2/SFRP2/FEZF1/TGFBR1/EMX2/PAX6/OTX2	23
BP	GO:0050680	negative regulation of epithelial cell proliferation	6	6/39	88/10965	5.932768638127212e-7	1.2823955268001942e-4	9.476500703095536e-5	4.023352000835863	SOX2/SFRP2/PTN/SULF1/TGFBR1/PAX6	23
BP	GO:0007423	sensory organ development	10	10/39	385/10965	6.476745084849466e-7	1.2823955268001942e-4	9.476500703095536e-5	4.023352000835863	EPHA4/ZIC1/SOX2/SPRY1/PTN/FZD3/TGFBR1/PAX6/SMOC1/SOX3	23
BP	GO:0008285	negative regulation of cell population proliferation	10	10/39	451/10965	2.7241066751783623e-6	3.980932306486699e-4	2.9417841073984646e-4	3.531389202582631	SOX2/FEZF2/SPRY1/SFRP2/FEZF1/PTN/SULF1/TGFBR1/PAX6/TPM1	23
BP	GO:2000177	regulation of neural precursor cell proliferation	5	5/39	64/10965	2.8553107673885202e-6	3.980932306486699e-4	2.9417841073984646e-4	3.531389202582631	LRP2/PTN/FZD3/PAX6/CDH2	23
BP	GO:0061351	neural precursor cell proliferation	6	6/39	115/10965	2.872245531375685e-6	3.980932306486699e-4	2.9417841073984646e-4	3.531389202582631	LRP2/PTN/FZD3/EMX2/PAX6/CDH2	23
BP	GO:0048663	neuron fate commitment	4	4/39	32/10965	4.573885077197214e-6	5.76309519726849e-4	4.258746583840086e-4	3.370718201793892	FEZF2/TGFBR1/PAX6/ZNF521	23
BP	GO:0042063	gliogenesis	7	7/39	210/10965	7.81553237073882e-6	9.026939888203338e-4	6.670625435727081e-4	3.1758334448614116	LRP2/EPHA4/SOX2/PTN/CLU/PAX6/CDH2	23
BP	GO:0048598	embryonic morphogenesis	9	9/39	401/10965	8.546584468238841e-6	9.111973902291564e-4	6.73346290493635e-4	3.17176152809124	LRP2/ZIC1/SOX2/SFRP2/FZD3/SULF1/TGFBR1/PAX6/OTX2	23
BP	GO:0045165	cell fate commitment	6	6/39	144/10965	1.0551441049477711e-5	0.0010445926638982933	7.719212136196852e-4	3.1124270238045733	SOX2/FEZF2/SFRP2/TGFBR1/PAX6/ZNF521	23
BP	GO:0021536	diencephalon development	4	4/39	44/10965	1.6745304150962926e-5	0.0015472661035489746	0.0011433811185183808	2.941808983882271	SOX2/PTN/PAX6/SOX3	23
BP	GO:0010001	glial cell differentiation	6	6/39	161/10965	1.9945371490960318e-5	0.0017277678054044374	0.0012767662145200256	2.893888618037248	EPHA4/SOX2/PTN/CLU/PAX6/CDH2	23
BP	GO:0003208	cardiac ventricle morphogenesis	4	4/39	47/10965	2.183391423118977e-5	0.0017801061837899423	0.0013154426344859224	2.8809280864376	LRP2/SFRP2/TGFBR1/TPM1	23
BP	GO:0045596	negative regulation of cell differentiation	9	9/39	480/10965	3.584756516387438e-5	0.0027602625176183274	0.002039747421312853	2.6904236072414456	EPHA4/SOX2/FEZF2/SPRY1/SFRP2/PTN/TGFBR1/PAX6/SOX3	23
BP	GO:0090288	negative regulation of cellular response to growth factor stimulus	5	5/39	113/10965	4.6302722856290394e-5	0.00337766178309571	0.002495986112973438	2.6027578352860012	LRP2/SPRY1/SFRP2/SULF1/TGFBR1	23
BP	GO:2000027	regulation of animal organ morphogenesis	6	6/39	190/10965	5.070411181798918e-5	0.0035137949489866503	0.002596584252573867	2.5855975810857643	SPRY1/SFRP2/PTN/FZD3/SULF1/TGFBR1	23
BP	GO:0051962	positive regulation of nervous system development	8	8/39	393/10965	5.876467281681442e-5	0.003845417165148041	0.002841642668557032	2.546430534723373	LRP2/EPHA4/FEZF2/TPBG/FEZF1/PTN/FZD3/PAX6	23
BP	GO:0045992	negative regulation of embryonic development	3	3/39	22/10965	6.11408301983703e-5	0.003845417165148041	0.002841642668557032	2.546430534723373	SFRP2/FZD3/SULF1	23
BP	GO:0090287	regulation of cellular response to growth factor stimulus	6	6/39	198/10965	6.381283895988812e-5	0.003845417165148041	0.002841642668557032	2.546430534723373	LRP2/SPRY1/SFRP2/SULF1/TGFBR1/OTX2	23
BP	GO:1902692	regulation of neuroblast proliferation	3	3/39	23/10965	7.013907839010669e-5	0.0040505317770286615	0.002993215933051483	2.5238619516696623	PTN/FZD3/PAX6	23
BP	GO:0040036	regulation of fibroblast growth factor receptor signaling pathway	3	3/39	24/10965	7.99618781738963e-5	0.004433086525960811	0.0032759118931874145	2.4846677872587146	SPRY1/SULF1/OTX2	23
BP	GO:0061564	axon development	8	8/39	413/10965	8.333202130009046e-5	0.004442237750843283	0.003282674361335547	2.4837721967983364	EPHA4/FEZF2/FEZF1/PTN/FZD3/PAX6/OTX2/CDH2	23
BP	GO:0021983	pituitary gland development	3	3/39	25/10965	9.064240080940994e-5	0.004652976574883044	0.0034384037422049074	2.463643129185677	SOX2/PAX6/SOX3	23
BP	GO:0050768	negative regulation of neurogenesis	6	6/39	213/10965	9.564095094096349e-5	0.004734227071577693	0.0034984453107352437	2.4561249107847254	EPHA4/SOX2/FEZF2/PTN/PAX6/SOX3	23
BP	GO:0007411	axon guidance	6	6/39	220/10965	1.1428769380479813e-4	0.00541336904436633	0.004000309926458904	2.397906360137868	EPHA4/FEZF2/FEZF1/FZD3/PAX6/OTX2	23
BP	GO:0097485	neuron projection guidance	6	6/39	221/10965	1.1717249013779935e-4	0.00541336904436633	0.004000309926458904	2.397906360137868	EPHA4/FEZF2/FEZF1/FZD3/PAX6/OTX2	23
BP	GO:0050678	regulation of epithelial cell proliferation	6	6/39	227/10965	1.357229013064217e-4	0.006068127135829048	0.004484155618714714	2.34831932400384	SOX2/SFRP2/PTN/SULF1/TGFBR1/PAX6	23
BP	GO:0051961	negative regulation of nervous system development	6	6/39	229/10965	1.4240003322253818e-4	0.006167701438951185	0.004557737905445054	2.3412506527167882	EPHA4/SOX2/FEZF2/PTN/PAX6/SOX3	23
BP	GO:0035270	endocrine system development	4	4/39	78/10965	1.6132507419002061e-4	0.0067120449675332	0.004959990699027724	2.3045191378978513	SOX2/TGFBR1/PAX6/SOX3	23
BP	GO:0010721	negative regulation of cell development	6	6/39	236/10965	1.678539491469391e-4	0.0067120449675332	0.004959990699027724	2.3045191378978513	EPHA4/SOX2/FEZF2/PTN/PAX6/SOX3	23
BP	GO:0014013	regulation of gliogenesis	4	4/39	79/10965	1.6949608503871716e-4	0.0067120449675332	0.004959990699027724	2.3045191378978513	LRP2/EPHA4/PTN/CDH2	23
BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	3	3/39	32/10965	1.9213464841087182e-4	0.007397183963818565	0.005466286927011061	2.2623075757997566	LRP2/TGFBR1/TPM1	23
BP	GO:2000179	positive regulation of neural precursor cell proliferation	3	3/39	33/10965	2.108289650490046e-4	0.0077785637900290115	0.005748114656108626	2.2404745776953154	LRP2/FZD3/PAX6	23
BP	GO:0048667	cell morphogenesis involved in neuron differentiation	8	8/39	473/10965	2.1326509669632212e-4	0.0077785637900290115	0.005748114656108626	2.2404745776953154	EPHA4/FEZF2/FEZF1/PTN/FZD3/PAX6/OTX2/CDH2	23
BP	GO:0050807	regulation of synapse organization	5	5/39	157/10965	2.1941704929355054e-4	0.007797744367201566	0.00576228850101551	2.239405001650461	EPHA4/TPBG/PTN/TUBA1A/CDH2	23
BP	GO:0050769	positive regulation of neurogenesis	7	7/39	358/10965	2.3266496539244493e-4	0.008029029558836704	0.00593320100307444	2.2267109385246076	LRP2/EPHA4/FEZF2/FEZF1/PTN/FZD3/PAX6	23
BP	GO:0003206	cardiac chamber morphogenesis	4	4/39	88/10965	2.5708845837457055e-4	0.008029029558836704	0.00593320100307444	2.2267109385246076	LRP2/SFRP2/TGFBR1/TPM1	23
BP	GO:0072089	stem cell proliferation	4	4/39	88/10965	2.5708845837457055e-4	0.008029029558836704	0.00593320100307444	2.2267109385246076	SFRP2/PTN/FZD3/PAX6	23
